,Law Firm,City,Website,DA Score_x,DA Score_y
59,,Agoura Hills,www.energyattorney.com,,9
60,,Agoura Hills,www.effreslaw.com,,25
61,,Agoura Hills,www.reneeamadorlaw.com,,1
62,,Agoura Hills,www.bpmcpa.com,,39
63,,Agoura Hills,www.nussbaumapc.com,,14
64,,Agoura Hills,www.campbellfarahani.com,,23
65,,Agoura Hills,www.halpernandhalpern.com,,5
66,,Agoura Hills,www.berrizlawgroup.com,,12
67,,Agoura Hills,www.haineslawoffice.com,,17
68,,Agoura Hills,www.primeoneinsurance.com,,11
69,,Agoura Hills,www.gip-us.com,,20
70,,Agoura Hills,www.arbellawla.com,,1
71,,Agoura Hills,www.tiborlaw.com,,8
72,,Agoura Hills,www.albmac.com,,23
73,,Agoura Hills,www.hubinternational.com,,57
74,,Agoura Hills,www.vosguanian.com,,9
75,,Agoura Hills,www.kjh.legal,,1
76,,Agoura Hills,www.kfjlegal.com,,11
77,,Agoura Hills,www.kornreichpersonalinjurylaw.com,,3
78,,Agoura Hills,albmac.com,,
79,,Agoura Hills,www.lawlb.com,,10
80,,Agoura Hills,www.sottilebaltaxe.com,,9
81,,Agoura Hills,www.craigsteinberglaw.com,,10
82,,Agoura Hills,www.gdblawoffices.com,,9
83,,Agoura Hills,www.finchtetzlaff.com,,10
84,,Agoura Hills,www.stephenslawgroup.com,,12
85,,Agoura Hills,www.vialawfirm.com,,4
86,,Alameda,www.wynlaw.com,,19
87,,Alameda,www.alamedaalliance.org,,34
88,,Alameda,www.pacificplazahotels.com,,15
89,,Alameda,www.robertwallacelaw.com,,1
90,,Alameda,www.zugnoni.net,,1
91,,Alameda,www.rumbergerlaw.com,,3
92,,Alameda,www.rudderlawgroup.com,,5
93,,Alameda,www.tsenglawfirm.com,,13
94,,Alameda,www.amrossilaw.com,,1
95,,Alameda,www.boehm-associates.com,,15
96,,Alameda,www.tabakhlaw.com,,1
97,,Alameda,www.kesslerkessler.com,,7
98,,Alameda,www.mac.com,,87
99,,Alameda,www.hoffmanlawinc.com,,7
100,,Alameda,www.nana.io,,17
101,,Alameda,www.bayregulatorystrategy.com,,3
102,,Alameda,www.bsralaw.com,,1
103,,Alameda,www.mediationwithheart.com,,7
104,,Alameda,www.aecliving.com,,23
105,,Alameda,www.harborlinx.com,,9
106,,Alameda,www.carlsonquinn.com,,13
107,,Alameda,www.workday.com,,81
108,,Alameda,www.chapmanandintrieri.com,,15
109,,Alameda,www.danbalsam.com,,16
110,,Alameda,www.booskalaw.com,,14
111,,Alameda,www.alamedacityattorney.org,,1
112,,Alameda,www.samuelsenadr.com,,2
113,,Alameda,www.landsurveylaw.com,,3
114,,Alameda,www.sgrlegal.net,,4
115,,Alameda,www.dmendelsohnlaw.com,,8
116,,Alameda,www.patriciascottlaw.com,,2
117,,Alameda,www.kohgadailaw.com,,1
118,,Alameda,www.leadloveplanttaxandlaw.com,,2
119,,Alameda,www.vickijensenlawoffice.com,,10
120,,Alameda,www.mdlawfirms.com,,1
121,,Alameda,www.claribelaw.com,,10
122,,Alameda,www.keiserlaw.com,,15
123,,Alameda,katemurphylaw.com,,14
124,,Alameda,www.silvadivorce.com,,7
125,,Alameda,www.notarolaw.com,,19
126,,Alameda,www.thepeebleslawyer.com,,33
127,,Alameda,www.dianareddinglaw.com,,3
128,,Alameda,www.thelancasterlawgroup.com,,3
129,,Alameda,www.pgdattorney.com,,1
130,,Alameda,www.oreshkovalaw.com,,2
131,,Alameda,www.exelixis.com,,52
132,,Alameda,www.oe3.org,,29
133,,Alameda,www.mctf.info,,1
134,,Alameda,www.richardpoulsonlaw.com,,13
135,,Alameda,www.ix.netcom.com,,61
136,,Alameda,www.pjclawyers.com,,2
137,,Alameda,www.padway.com,,4
138,,Alameda,www.matzlawgroup.legal,,1
139,,Alameda,www.jwc-law.com,,17
140,,Alameda,www.moseleybarnes.com,,1
141,,Alameda,www.mellenlawfirm.com,,11
142,,Alameda,www.ropesgray.com,,59
143,,Alameda,www.creditkarma.com,,70
144,,Alameda,www.alamedalegal.net,,1
145,,Alameda,www.dgleicher.com,,1
146,,Alameda,www.bsralawfirm.com,,13
147,,Alameda,www.penumbrainc.com,,57
148,,Alameda,brazylaw.com,,11
149,,Alameda,cjkingsleylaw.com,,1
150,,Alameda,www.dayseiterlaw.com,,8
151,,Alameda,www.symbium.com,,35
152,,Alameda,www.eastbayattorney.com,,14
153,,Alameda,www.sjlawcorp.com,,9
154,,Alameda,www.dosalaw.com,,13
155,,Alameda,www.gfalzonelaw.com,,30
156,,Alameda,www.cosentinolaw.com,,5
157,,Alameda,www.awattorneys.com,,22
158,,Alameda,jegglestonlaw.com,,12
159,,Alameda,www.matthewjduncan.com,,11
160,,Alameda,www.scribetx.com,,31
161,,Alameda,www.abbott.com,,67
162,,Alameda,www.cnilawfirm.com,,16
163,,Alameda,www.kotowskilaw.com,,5
164,,Alameda,www.iangel.org,,20
165,,Alameda,www.dubinlawfirm.com,,4
166,,Alameda,www.freilicherlaw.com,,1
167,,Alameda,www.aakapurlaw.com,,1
168,,Alameda,www.kcvlaw.com,,8
169,,Alameda,www.fonglaw.com,,7
170,,Alameda,www.flanderslawoffice.com,,1
171,,Alameda,www.tpsullivanlaw.com,,9
172,,Alamo,www.bcbmlaw.com,,4
173,,Alamo,www.bayventurelaw.com,,12
174,,Alamo,www.adaylaw.com,,3
175,,Alamo,www.wdwlawoffices.com,,9
176,,Alamo,www.nicoledavidsonlaw.com,,7
177,,Alamo,www.schlieslaw.com,,7
178,,Alamo,www.jmohanlaw.com,,1
179,,Alamo,www.kaisergornick.com,,18
180,,Alamo,www.intercom.com,,70
181,,Alamo,www.krutillacpa.com,,1
182,,Alamo,www.jameswickershamattorney.com,,4
183,,Alamo,www.lend.us,,26
184,,Alamo,www.jdbtechlaw.com,,1
185,,Alamo,www.dslegal.net,,1
186,,Alamo,www.thefocalpoint.com,,27
187,,Alamo,www.wittlabs.com,,1
188,,Alamo,www.ros.com,,25
189,,Alamo,www.apex-attorneys.com,,3
190,,Alamo,www.jwatlaw.com,,6
191,,Alamo,www.cpolawoffice.com,,3
192,,Alamo,www.angers-law.com,,7
193,,Alamo,www.woodruffdrc.com,,8
194,,Albany,www.surowitz.com,,2
195,,Albany,www.eastbayvisalaw.com,,19
196,,Albany,www.aguayolegal.com,,6
197,,Albany,www.dorisemitchell.com,,14
198,,Albany,www.halpernlawoffice.com,,18
199,,Albany,www.bayarea-attorney.com,,31
200,,Albany,www.courtlawyerca.com,,18
201,,Albany,www.svelf.com,,13
202,,Albany,www.kevanwarrenlaw.com,,7
203,,Albany,www.lucindayounglaw.com,,1
204,,Albany,www.bioenergyca.org,,23
205,,Albany,www.eastbaylaw.com,,12
206,,Albany,www.outislaw.com,,5
207,,Albany,www.lynchestateplanning.com,,1
208,,Albany,www.valerian.law,,5
209,,Albany,www.wrightandsupple.com,,10
210,,Albany,www.technologylawgroup.net,,6
211,,Albany,www.lawsurvivors.com,,1
212,,Alhambra,www.muscleaidtape.com,,13
213,,Alhambra,www.mccollumcounsel.com,,2
214,,Alhambra,www.liouesq.com,,4
215,,Alhambra,www.harryliulaw.com,,4
216,,Alhambra,www.pointlaw.com,,3
217,,Alhambra,www.tanesq.com,,1
218,,Alhambra,www.attorneywong.com,,6
219,,Alhambra,www.lolollp.com,,9
220,,Alhambra,www.ksb.net,,24
221,,Alhambra,www.segway.com,,67
222,,Alhambra,www.rypropertiesinc.com,,1
223,,Alhambra,www.lam-law.com,,6
224,,Alhambra,www.akarilaw.com,,6
225,,Alhambra,www.cta.org,,57
226,,Alhambra,www.banhlaw.com,,17
227,,Alhambra,www.evike.com,,54
228,,Alhambra,www.svbusinesslaw.com,,5
229,,Alhambra,www.lawaj.com,,9
230,,Alhambra,www.emcore.com,,50
231,,Alhambra,www.ideallegalgroup.com,,25
232,,Alhambra,www.xlilaw.com,,16
233,,Alhambra,www.laralawoffices.com,,14
234,,Alhambra,www.ztlegal.com,,1
235,,Alhambra,www.newomnibank.com,,18
236,,Alhambra,www.lawposner.com,,8
237,,Alhambra,www.hmlegalgroup.com,,6
238,,Alhambra,www.understandappeals.com,,1
239,,Alhambra,www.jvlawgroup.com,,5
240,,Alhambra,www.lawyer4u88.com,,11
241,,Alhambra,www.filg.us,,55
242,,Alhambra,www.mlylaw.com,,16
243,,Alhambra,www.killackeylaw.com,,13
244,,Alhambra,www.rayhsulaw.com,,9
245,,Alhambra,www.wklaws.com,,6
246,,Alhambra,www.etranlegal.com,,3
247,,Alhambra,www.carloscruzlaw.org,,1
248,,Alhambra,www.intolaw.com,,17
249,,Alhambra,www.jasonlilaw.com,,1
250,,Alhambra,www.leizhanglaw.com,,10
251,,Alhambra,www.mylawcorp.com,,16
252,,Alhambra,www.attorneyness.com,,6
253,,Alhambra,www.lisaliulaw.com,,8
254,,Aliso Viejo,www.rloewy.com,,1
255,,Aliso Viejo,www.awinvest.com,,8
256,,Aliso Viejo,www.ledermanlawoffice.com,,2
257,,Aliso Viejo,www.constructionriskmanagers.com,,2
258,,Aliso Viejo,www.jacksonwilson.com,,11
259,,Aliso Viejo,www.carringtonmh.com,,5
260,,Aliso Viejo,www.nesbitt.com,,31
261,,Aliso Viejo,www.mfb-law.com,,5
262,,Aliso Viejo,www.sbvlawoffices.com,,1
263,,Aliso Viejo,www.covenantcare.com,,35
264,,Aliso Viejo,www.stepolaw.com,,1
265,,Aliso Viejo,www.tjhusa.com,,4
266,,Aliso Viejo,www.mikedyelaw.com,,5
267,,Aliso Viejo,www.gersontrustlaw.com,,1
268,,Aliso Viejo,www.provenbc.com,,1
269,,Aliso Viejo,www.jfshea.com,,36
270,,Aliso Viejo,www.hehlaw.com,,1
271,,Aliso Viejo,www.sinclegal.com,,1
272,,Aliso Viejo,www.vantislaw.com,,3
273,,Aliso Viejo,www.hochnerlaw.com,,2
274,,Aliso Viejo,www.thomsonreuters.com,,88
275,,Aliso Viejo,www.brummondlaw.com,,1
276,,Aliso Viejo,www.ambrygen.com,,52
277,,Aliso Viejo,www.jkastorlaw.com,,1
278,,Aliso Viejo,www.smbslaw.com,,2
279,,Aliso Viejo,www.ammiratolegal.com,,10
280,,Aliso Viejo,www.becklinlaw.com,,1
281,,Aliso Viejo,www.glaukos.com,,43
282,,Aliso Viejo,www.live.com,,95
283,,Aliso Viejo,www.chern.net,,8
284,,Aliso Viejo,www.brebnerlaw.com,,13
285,,Aliso Viejo,www.jade.legal,,9
286,,Aliso Viejo,www.doma.com,,31
287,,Aliso Viejo,www.simislaw.com,,7
288,,Aliso Viejo,www.realmidx.com,,22
289,,Aliso Viejo,www.pbmblaw.com,,13
290,,Aliso Viejo,www.vandenboschlaw.com,,5
291,,Aliso Viejo,www.marshmma.com,,51
292,,Aliso Viejo,www.fluor.com,,60
293,,Aliso Viejo,brobertsonlaw.com,,31
294,,Aliso Viejo,www.walravenlaw.com,,12
295,,Aliso Viejo,www.bshanahanlaw.com,,1
296,,Aliso Viejo,www.scheerlawgroup.com,,17
297,,Aliso Viejo,www.heritagelawllp.com,,14
298,,Aliso Viejo,www.microvention.com,,38
299,,Aliso Viejo,www.jvaldezimmigration.com,,12
300,,Aliso Viejo,www.wall-law.com,,14
301,,Aliso Viejo,www.minyardmorris.com,,26
302,,Aliso Viejo,gordian-law.com,,1
303,,Aliso Viejo,kgulick.com,,22
304,,Aliso Viejo,www.calemployerlaw.com,,8
305,,Aliso Viejo,www.juryattorney.com,,9
306,,Aliso Viejo,www.edgedispute.com,,3
307,,Aliso Viejo,www.hattonpetrie.com,,16
308,,Aliso Viejo,www.panlawgroup.com,,7
309,,Aliso Viejo,www.johnsoninjurylawyers.com,,2
310,,Aliso Viejo,www.mbkchapman.com,,9
311,,Aliso Viejo,www.nokeslaw.com,,19
312,,Aliso Viejo,www.murphy-beane.com,,15
313,,Aliso Viejo,www.cox.net,,76
314,,Aliso Viejo,www.jackperkolaw.com,,11
315,,Aliso Viejo,www.wienicklaw.com,,1
316,,Aliso Viejo,www.newmanwells.com,,7
317,,Aliso Viejo,www.nelsonlawco.com,,4
318,,Aliso Viejo,www.castlemonarchlaw.com,,11
319,,Aliso Viejo,www.hpsassoc.com,,1
320,,Aliso Viejo,www.procivlaw.com,,11
321,,Aliso Viejo,www.ambankruptcy.com,,3
322,,Aliso Viejo,www.lopezmchugh.com,,38
323,,Aliso Viejo,www.lscarlsonlaw.com,,12
324,,Aliso Viejo,www.wshblaw.com,,35
325,,Aliso Viejo,www.jaffeandasher.com,,23
326,,Aliso Viejo,www.duiqueen.com,,26
327,,Aliso Viejo,www.drlawllp.com,,21
328,,Aliso Viejo,www.themurpheylawyers.com,,10
329,,Aliso Viejo,www.dlblaw.net,,8
330,,Aliso Viejo,www.ballo.law,,10
331,,Aliso Viejo,www.burnspatentlaw.com,,1
332,,Aliso Viejo,www.greenmanlawpc.com,,11
333,,Aliso Viejo,www.acceleronlaw.com,,19
334,,Aliso Viejo,www.majorleaguebiz.com,,2
335,,Aliso Viejo,www.coel-law.com,,7
336,,Aliso Viejo,www.crockett-crockett.com,,21
337,,Aliso Viejo,www.dosslaw.com,,13
338,,Aliso Viejo,www.camutilaw.com,,20
339,,Aliso Viejo,www.greenmanlaw.co,,17
340,,Aliso Viejo,www.grochowlaw.com,,1
341,,Aliso Viejo,www.stetinalaw.com,,19
342,,Aliso Viejo,www.emc2law.com,,19
343,,Aliso Viejo,www.far-law.com,,8
344,,Aliso Viejo,www.cwdlegal.com,,16
345,,Aliso Viejo,rohani law group,,
346,,Aliso Viejo,www.mwb-law.net,,7
347,,Aliso Viejo,www.julieflanaganlaw.com,,6
348,,Alpine,www.kgcesq.com,,1
349,,Alpine,www.powerfrog.com,,1
350,,Alpine,www.viejas.com,,48
351,,Alpine,www.attorneywalterdavis.com,,2
352,,Alpine,www.edify.org,,34
353,,Alpine,www.gliko.com,,7
354,,Alpine,www.knightappellatelaw.com,,3
355,,Altadena,www.susanylee.com,,2
356,,Altadena,www.marlenecooperlaw.com,,10
357,,Altadena,www.thefoxxfirm.com,,19
358,,Altadena,www.attorneyjohnrbenson.com,,10
359,,Altadena,www.pppsgv.org,,22
360,,Altadena,www.dmslawyer.com,,6
361,,Altadena,www.methodisthospital.org,,39
362,,Altadena,www.loyola.net,,1
363,,Altadena,www.emblaw.net,,1
364,,Altadena,www.mpjlawgroup.com,,1
365,,Altadena,www.interstatevc.com,,11
366,,Altadena,www.mkgordon.com,,1
367,,Altadena,www.lawofficeoftaishabrown.com,,1
368,,Altadena,www.marjiya.com,,7
369,,Altadena,www.thoreenlaw.com,,2
370,,Altaville,jeisenstatlaw.com,,3
371,,Alturas,www.citlink.net,,44
372,,Alturas,www.frontiernet.net,,61
373,,Alviso,srirangav.github.io,,4
374,,Alviso,www.hq.bill.com,,56
375,,Alviso,www.lacework.com,,47
376,,Alviso,www.tivo.com,,79
377,,Alviso,www.appzen.com,,44
378,,Alviso,www.lacework.net,,19
379,,Alviso,www.flex.com,,65
380,,Amador City,www.arguello-law.com,,3
381,,American Cyn,www.nlewislaw.com,,1
382,,American Cyn,www.winedirect.com,,44
383,,Anaheim,www.josephabramslaw.com,,14
384,,Anaheim,www.thealilawgroup.com,,1
385,,Anaheim,www.alkamlaw.com,,8
386,,Anaheim,www.awadafirm.com,,11
387,,Anaheim,www.ldblegal.com,,6
388,,Anaheim,www.clgworkcomp.com,,1
389,,Anaheim,www.desaicamino.com,,18
390,,Anaheim,www.lemonlaw123.com,,18
391,,Anaheim,www.edglaw.com,,5
392,,Anaheim,www.ethanchinlaw.com,,14
393,,Anaheim,www.ascholaw.com,,12
394,,Anaheim,www.cisnerosfirm.com,,13
395,,Anaheim,www.wlawoffice.com,,14
396,,Anaheim,www.thecorreafirm.com,,9
397,,Anaheim,www.ashleybaron.com,,12
398,,Anaheim,kevinbgibbs.com,,26
399,,Anaheim,www.nataliafoleylaw.com,,4
400,,Anaheim,www.fedpractice.com,,33
401,,Anaheim,www.dialaw.com,,15
402,,Anaheim,www.thedouglaslawgroup.com,,13
403,,Anaheim,www.dragna.com,,12
404,,Anaheim,www.bgelaw.com,,18
405,,Anaheim,www.finemanpoliner.com,,14
406,,Anaheim,www.smtdlaw.com,,12
407,,Anaheim,www.duringerlaw.com,,19
408,,Anaheim,www.flanaganlaw.com,,7
409,,Anaheim,www.jmllaw.com,,38
410,,Anaheim,www.djglawgroup.com,,7
411,,Anaheim,www.thomasgrayesq.com,,11
412,,Anaheim,jdcuzzolinaesq.com,,7
413,,Anaheim,www.andrewdelahunt.com,,11
414,,Anaheim,www.dalefiola.com,,11
415,,Anaheim,www.alvarezgutierrezlaw.com,,1
416,,Anaheim,www.jdulaw.com,,8
417,,Anaheim,bradfordbarthel.com,,29
418,,Anaheim,www.heenapatellaw.com,,17
419,,Anaheim,divorcepeacemaker.com,,9
420,,Anaheim,www.bradfordbarthel.com,,29
421,,Anaheim,www.injurycomplaw.com,,21
422,,Anaheim,www.mashneylaw.com,,26
423,,Anaheim,www.jsminjuryfirm.com,,50
424,,Anaheim,marangelllaw.com,,13
425,,Anaheim,www.madridlawgroup.com,,19
426,,Anaheim,www.larson-law.com,,14
427,,Anaheim,www.focuslawla.com,,12
428,,Anaheim,www.advancingjustice-la.org,,56
429,,Anaheim,www.kirklegal.com,,8
430,,Anaheim,www.slatenwealth.com,,8
431,,Anaheim,www.bridgelawllp.com,,18
432,,Anaheim,www.kppb.com,,25
433,,Anaheim,www.katjelawgroup.com,,20
434,,Anaheim,www.cynthiapoerlaw.com,,2
435,,Anaheim,www.gssc-law.com,,13
436,,Anaheim,www.samsonlaw.com,,2
437,,Anaheim,www.johnhsmithlaw.com,,3
438,,Anaheim,www.gtilaw.com,,8
439,,Anaheim,www.disabilitylaw.com,,25
440,,Anaheim,www.ajsocal.org,,10
441,,Anaheim,www.ibrahimfirm.com,,15
442,,Anaheim,www.ez-patent.com,,16
443,,Anaheim,www.lflm.com,,33
444,,Anaheim,www.cpwalkerlaw.com,,20
445,,Anaheim,www.tcwatts.com,,9
446,,Anaheim,www.anaheim.net,,62
447,,Anaheim,www.mzapatalaw.com,,19
448,,Anaheim,www.zaradichlaw.com,,4
449,,Anaheim,edglaw.com,,5
450,,Anaheim,www.ludwiglawcenter.com,,8
451,,Anaheim,www.corpjust.com,,1
452,,Anaheim,www.atirestoration.com,,37
453,,Anaheim,www.barkermgt.com,,25
454,,Anaheim,www.brblawoffice.com,,1
455,,Anaheim,www.goecoled.com,,1
456,,Anaheim,www.jmllaw.cocm,,1
457,,Anaheim,www.cgblaw.com,,12
458,,Anaheim,www.ockidslaw.com,,22
459,,Anaheim,www.acevedolawgroup.com,,1
460,,Anaheim,www.econolite.com,,40
461,,Anaheim,www.twc.com,,48
462,,Anaheim,www.ups.com,,88
463,,Anaheim,www.a2blegal.com,,17
464,,Anaheim,www.czechandhowell.com,,13
465,,Anaheim,www.chonglegal.com,,3
466,,Anaheim,www.virgingalactic.com,,76
467,,Anaheim,www.winnow.law,,16
468,,Anaheim,www.lacounsel1.com,,1
469,,Anaheim,www.chinglawoffice.com,,2
470,,Anaheim,www.delaflorlaw.com,,3
471,,Anaheim,www.dbinsus.com,,18
472,,Anaheim,www.adrianaslaw.com,,7
473,,Anaheim,www.guevaraesq.com,,6
474,,Anaheim,www.theocdefense.com,,9
475,,Anaheim,www.dfordlaw.com,,3
476,,Anaheim,www.fennlawfirm.com,,10
477,,Anaheim,www.altusgroup.com,,53
478,,Anaheim,www.foellandelder.com,,1
479,,Anaheim,www.ocfamattorney.com,,11
480,,Anaheim,www.humphreyandassociates.com,,18
481,,Anaheim,www.bellastones.com,,9
482,,Anaheim,www.tcco.com,,29
483,,Anaheim,www.caglawyers.com,,1
484,,Anaheim,www.lhdlegal.com,,1
485,,Anaheim,www.findley-reports.com,,18
486,,Anaheim,www.pacificspecialty.com,,37
487,,Anaheim,www.esquireamy.com,,1
488,,Anaheim,www.wescom.org,,38
489,,Anaheim,www.ocvibe.com,,25
490,,Anaheim,www.fieldslg.com,,10
491,,Anaheim,www.sgrandelaw.com,,1
492,,Anaheim,www.apalc.org,,38
493,,Anaheim,www.andanglaw.com,,1
494,,Anaheim,www.shinlegalgroup.com,,7
495,,Anaheim,www.constructiondefects.us,,10
496,,Anaheim,www.netzero.com,,46
497,,Anaheim,www.isza.com,,7
498,,Anaheim,www.kordablaw.com,,8
499,,Anaheim,www.octitle.com,,34
500,,Anaheim,www.kbirecycling.com,,30
501,,Anaheim,www.gramercylegal.com,,1
502,,Anaheim,www.kiyonna.com,,51
503,,Anaheim,www.sagheralaw.com,,2
504,,Anaheim,www.jimenezlawyers.com,,2
505,,Anaheim,www.intactinsurance.com,,27
506,,Anaheim,www.cannonnelms.com,,9
507,,Anaheim,www.catanzarite.com,,11
508,,Anaheim,www.camuller.com,,3
509,,Anaheim,www.webuildyourtrust.com,,26
510,,Anaheim,www.greenpersonalinjury.com,,13
511,,Anaheim,www.mbmlawcorp.com,,1
512,,Anaheim,www.paulameyerlaw.com,,17
513,,Anaheim,www.advancingjustice-oc.org,,20
514,,Anaheim,www.pposbc.org,,26
515,,Anaheim,www.hay-fel.com,,5
516,,Anaheim,www.skaggsconcretecutting.com,,1
517,,Anaheim,www.toomeylawfirm.com,,5
518,,Anaheim,www.songlawoffices.com,,1
519,,Anaheim,www.larryandhelen.com,,6
520,,Anaheim,www.shinenlaw.com,,15
521,,Anaheim,www.4bankruptcy.com,,
522,,Anaheim,www.spidell.com,,21
523,,Anaheim,www.phsamuels.com,,1
524,,Anaheim,www.pettibonelaw.com,,20
525,,Anaheim,www.pacintlcpa.com,,8
526,,Anaheim,www.infosend.com,,22
527,,Anaheim,www.rohrlaw.com,,1
528,,Anaheim,www.viravanlaw.com,,2
529,,Anaheim,www.auhsd.us,,47
530,,Anaheim,www.attylsi.com,,3
531,,Anaheim,www.johnmurbanlegal.com,,11
532,,Anaheim,www.manscaped.com,,56
533,,Anaheim,www.reinoiidalaw.com,,2
534,,Anaheim Hills,www.capizzi-law.com,,1
535,,Anaheim Hills,www.trustfci.com,,23
536,,Angels Camp,www.calaveraslegal.com,,1
537,,Antelope,www.firstcapitalrealestate.com,,9
538,,Antioch,www.dlarsenlaw.com,,6
539,,Antioch,www.pruizlaw.com,,9
540,,Antioch,www.moellerestatelaw.com,,1
541,,Antioch,www.keycounselpc.com,,7
542,,Antioch,amyhiltonlaw.com,,16
543,,Antioch,www.hobinlaw.com,,18
544,,Antioch,www.contracostada.org,,26
545,,Antioch,www.amyhiltonlaw.com,,
546,,Antioch,www.drilltechdrilling.com,,20
547,,Antioch,www.lowenslaw.com,,1
548,,Antioch,www.pappasandpappas.com,,7
549,,Antioch,www.rivertownlegal.com,,19
550,,Antioch,www.coxjustice.com,,7
551,,Antioch,www.icworkinjury.com,,18
552,,Antioch,www.joelharrislaw.com,,18
553,,Antioch,www.matthewhartlaw.com,,16
554,,Apple Valley,www.turnbow.com,,7
555,,Apple Valley,www.carlonilaw.com,,7
556,,Apple Valley,www.louisgfazzi.com,,11
557,,Apple Valley,www.janatevalenzuelalaw.com,,1
558,,Apple Valley,www.archangeltrust.com,,14
559,,Apple Valley,www.peacefullegal.com,,11
560,,Apple Valley,www.onegoodlawyer.com,,15
561,,Aptos,www.kellywachs.com,,22
562,,Aptos,www.got.net,,46
563,,Aptos,www.msampsonlaw.com,,1
564,,Aptos,www.holcomb-corp.com,,1
565,,Aptos,www.lawofficedonaldschwartz.com,,3
566,,Aptos,www.goreckigc.com,,1
567,,Aptos,www.mindspring.com,,67
568,,Aptos,www.krstudiorental.com,,1
569,,Aptos,www.battip.com,,1
570,,Aptos,www.adronlaw.com,,11
571,,Aptos,www.alperslawgroup.com,,5
572,,Aptos,www.gregorycarterlaw.com,,12
573,,Aptos,www.keithdysartlaw.com,,2
574,,Aptos,www.stephenpappas.com,,10
575,,Aptos,www.patentalchemy.com,,6
576,,Aptos,www.johannessenlaw.com,,2
577,,Aptos,www.kafranke.com,,2
578,,Aptos,www.wingedlawyer.com,,5
579,,Aptos,www.businessandtrustlawyer.com,,14
580,,Aptos,www.freybourg.com,,1
581,,Aptos,www.marytorrezlaw.com,,1
582,,Aptos,www.braytonlaw.com,,38
583,,Aptos,www.ahlawoffice.com,,9
584,,Aptos,www.holder-law.com,,13
585,,Aptos,www.dkemplaw.com,,8
586,,Aptos,www.patentplanet.com,,16
587,,Aptos,www.wittwerparkin.com,,16
588,,Aptos,www.brianmathiaslaw.com,,13
589,,Aptos,www.legalmallaw.com,,4
590,,Aptos,www.stonlaw.com,,1
591,,Aptos,www.waltontwu.com,,5
592,,Aptos,www.jesserubenlaw.com,,8
593,,Aptos,www.timothyjwalshlaw.com,,8
594,,Aptos,www.myraprestidgelaw.com,,2
595,,Arcadia,www.gaulelaw.us,,1
